 货运司机,货运驾驶员包吃住 ,  招10人 ,上海闵行华漕,上海虹德申通快递服务有限公司,交通/运输/物流,100-499人
 货运司机,北桥地铁站德邦诚聘快递员 ,  招5人 ,上海闵行颛桥,德邦（上海）运输有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,急招B2驾驶员可提供住宿 ,  招15人 ,上海松江洞泾,众大亚洲人才资源开发（上海）有限公司,人力资源服务,500-999人
 货运司机,直招普陀司机8千以上有住 ,  招1人 ,上海普陀桃浦,中骅国际物流有限公司,交通/运输/物流,1000人以上
 货运司机,重货收派员（颛桥+大车） ,  招10人 ,上海闵行颛桥,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,重货收派员（泖港+大车） ,  招5人 ,上海松江泖港,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,重货收派员（宝山+大车） ,  招10人 ,上海宝山水产路,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,重货收派员（川沙+大车） ,  招10人 ,上海浦东川沙,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,京东 急招B2驾驶员包住 ,  招10人 ,上海浦东川沙,众大亚洲人才资源开发（上海）有限公司,人力资源服务,500-999人
 货运司机,招新能源货运司机c1以上 ,  招9人 ,上海浦东,上海豪滴汽车租赁服务有限公司,租赁服务,1000人以上
 货运司机,箱货货车司机 ,  招50人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,诚招货运合作司机货源稳定 ,  招20人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,驾驶员+包食宿4K ,  招1人 ,上海嘉定江桥新城,上海力乙工贸有限公司,贸易/进出口+办公用品及设备+批发/零售,50-99人
 货运司机,C1新能源货车司机 ,  招50人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,A2驾驶员 ,  招10人 ,上海嘉定,上海悦华物流有限公司,交通/运输/物流,100-499人
 货运司机,A2短驳货运驾驶员 ,  招5人 ,上海嘉定,上海悦华物流有限公司,交通/运输/物流,100-499人
 货运司机,A2集卡驾驶员 ,  招6人 ,上海宝山杨行,上海联众物流有限公司,交通/运输/物流,1-49人
 货运司机,圆通速递直招驾驶员 ,  招2人 ,上海静安静安寺,上海杰伦圆通快递有限公司（圆通速递）,交通/运输/物流,1000人以上
 货运司机,圆通速递直招驾驶员 ,  招2人 ,上海宝山宝山周边,上海杰伦圆通快递有限公司（圆通速递）,交通/运输/物流,1000人以上
 货运司机,圆通速递直招驾驶员 ,  招2人 ,上海长宁镇宁路,上海杰伦圆通快递有限公司（圆通速递）,交通/运输/物流,1000人以上
 货运司机,圆通速递驾驶员直招 ,  招2人 ,上海杨浦杨浦周边,上海杰伦圆通快递有限公司（圆通速递）,交通/运输/物流,1000人以上
 货运司机,急聘货运司机 ,  招1人 ,上海,上海固俊建材有限公司（上海欧派木门营销中心）,建筑/建材+家居/室内设计/装潢+其他行业,50-99人
 货运司机,运作司机（浦江镇） ,  招5人 ,上海闵行浦江,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,司机 ,  招1人 ,上海松江新桥,上海祺霖家居用品有限公司（欧派家居）,家居/室内设计/装潢,100-499人
 货运司机,A2驾驶员 ,  招10人 ,上海嘉定,上海悦华物流有限公司,交通/运输/物流,100-499人
 货运司机,快消品配送招合作货运司机 ,  招16人 ,上海宝山,上海赤译汽车租赁有限公司,租赁服务,50-99人
 货运司机,B2货运司机+五险一金L ,  招30人 ,上海嘉定丰庄,上海市人才招聘中心,中介/专业服务+人力资源服务,50-99人
 货运司机,货运司机5千到8千 ,  招20人 ,上海,上海新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,浦东司机5千至7千 ,  招10人 ,上海南汇康桥,两鲜商贸（上海）有限公司,互联网/电子商务,100-499人
 货运司机,浦东司机5千至7千 ,  招10人 ,上海南汇康桥,两鲜商贸（上海）有限公司,互联网/电子商务,100-499人
 货运司机,配送司机（上海） ,  招5人 ,上海普陀,远成快运（上海）有限公司,交通/运输/物流,1000人以上
 货运司机,直招C照送货司机（1万） ,  招10人 ,上海,上海中继久达物流有限公司,交通/运输/物流,50-99人
